Service,Destination,0-1kg,1-2kg,2-3kg,3-4kg,4-5kg,5-6kg,6-7kg,7-8kg,8-9kg,9-10kg,10-11kg,11-12kg,12-13kg,13-14kg,14-15kg,15-16kg,16-17kg,17-18kg,18-19kg,19-20kg,20-21kg,21-22kg,22-23kg,23-24kg,24-25kg,25-26kg,26-27kg,27-28kg,28-29kg,29-30kg,Surcharge per Additional kg after 30KG
GPA,Iran,£27.11,£32.95,£38.80,£44.75,£50.64,£56.46,£62.25,£68.10,£73.89,£79.68,£85.50,£91.32,£97.14,£102.93,£108.72,£114.54,£120.36,£126.15,£131.94,£137.76,£143.58,£149.40,£155.22,£161.01,£166.80,£172.60,£178.41,£184.21,£190.02,£195.84,£8.90
GPA,Iraq,£27.11,£32.95,£38.80,£44.75,£50.64,£56.46,£62.25,£68.10,£73.89,£79.68,£85.50,£91.32,£97.14,£102.93,£108.72,£114.54,£120.36,£126.15,£131.94,£137.76,£143.58,£149.40,£155.22,£161.01,£166.80,£172.60,£178.41,£184.21,£190.02,£195.84,£8.90
GPA,Israel,£32.27,£38.36,£44.44,£50.63,£56.76,£62.82,£68.85,£74.94,£80.97,£87.00,£93.06,£99.12,£105.17,£111.20,£117.24,£123.29,£129.35,£135.38,£141.41,£147.47,£153.53,£159.59,£165.64,£171.68,£177.71,£183.74,£189.80,£195.83,£201.89,£207.94,£6.05
GPA,Ivory Coast,£26.19,£33.28,£40.37,£47.57,£54.71,£61.78,£68.81,£75.90,£82.94,£89.98,£97.05,£104.11,£111.18,£118.21,£125.25,£132.32,£139.38,£146.42,£153.46,£160.52,£167.59,£174.65,£181.72,£188.76,£195.79,£202.83,£209.90,£216.94,£224.00,£231.07,£10.00
GPA,Jamaica,£31.42,£41.07,£50.71,£60.46,£70.15,£79.77,£89.36,£99.01,£108.60,£118.19,£127.81,£137.43,£147.04,£156.63,£166.23,£175.84,£185.46,£195.05,£204.65,£214.26,£223.88,£233.50,£243.12,£252.71,£262.30,£271.89,£281.51,£291.10,£300.72,£310.34,£11.63
GPA,Japan,£20.07,£27.52,£33.95,£37.65,£42.60,£47.10,£51.55,£56.05,£60.50,£65.00,£69.10,£73.25,£77.35,£81.50,£85.60,£89.85,£94.10,£98.35,£102.60,£106.85,£111.10,£115.35,£119.65,£123.90,£128.15,£132.40,£136.65,£140.90,£145.15,£149.40,£7.41
GPA,Jordan,£27.11,£32.95,£38.80,£44.75,£50.64,£56.46,£62.25,£68.10,£73.89,£79.68,£85.50,£91.32,£97.14,£102.93,£108.72,£114.54,£120.36,£126.15,£131.94,£137.76,£143.58,£149.40,£155.22,£161.01,£166.80,£172.60,£178.41,£184.21,£190.02,£195.84,£8.90
GPA,Kazakhstan,£30.08,£37.66,£45.23,£52.91,£60.54,£68.09,£75.62,£83.19,£90.72,£98.24,£105.79,£113.34,£120.89,£128.42,£135.94,£143.49,£151.05,£158.57,£166.09,£173.65,£181.20,£188.75,£196.30,£203.82,£211.35,£218.87,£226.42,£233.95,£241.50,£249.05,£4.43
GPA,Kenya,£27.60,£32.88,£38.16,£43.55,£48.88,£54.14,£59.37,£64.65,£69.88,£75.11,£80.37,£85.62,£90.88,£96.11,£101.34,£106.60,£111.85,£117.08,£122.31,£127.57,£132.82,£138.08,£143.34,£148.57,£153.80,£159.03,£164.28,£169.51,£174.77,£180.03,£5.25
GPA,Kiribati,£23.77,£29.64,£35.51,£41.49,£47.41,£53.26,£59.08,£64.95,£70.77,£76.59,£82.43,£88.28,£94.12,£99.94,£105.76,£111.61,£117.45,£123.27,£129.09,£134.93,£140.78,£146.62,£152.47,£158.29,£164.11,£169.93,£175.77,£181.59,£187.44,£193.28,£16.53
GPA,Kosovo,£30.08,£37.66,£45.23,£52.91,£60.54,£68.09,£75.62,£83.19,£90.72,£98.24,£105.79,£113.34,£120.89,£128.42,£135.94,£143.49,£151.05,£158.57,£166.09,£173.65,£181.20,£188.75,£196.30,£203.82,£211.35,£218.87,£226.42,£233.95,£241.50,£249.05,£4.43
GPA,Kuwait,£27.11,£32.95,£38.80,£44.75,£50.64,£56.46,£62.25,£68.10,£73.89,£79.68,£85.50,£91.32,£97.14,£102.93,£108.72,£114.54,£120.36,£126.15,£131.94,£137.76,£143.58,£149.40,£155.22,£161.01,£166.80,£172.60,£178.41,£184.21,£190.02,£195.84,£8.90
GPA,Kyrgyzstan,£26.19,£33.28,£40.37,£47.57,£54.71,£61.78,£68.81,£75.90,£82.94,£89.98,£97.05,£104.11,£111.18,£118.21,£125.25,£132.32,£139.38,£146.42,£153.46,£160.52,£167.59,£174.65,£181.72,£188.76,£195.79,£202.83,£209.90,£216.94,£224.00,£231.07,£10.00
GPA,Laos,£23.77,£29.64,£35.51,£41.49,£47.41,£53.26,£59.08,£64.95,£70.77,£76.59,£82.43,£88.28,£94.12,£99.94,£105.76,£111.61,£117.45,£123.27,£129.09,£134.93,£140.78,£146.62,£152.47,£158.29,£164.11,£169.93,£175.77,£181.59,£187.44,£193.28,£16.53
GPA,Lebanon,£27.11,£32.95,£38.80,£44.75,£50.64,£56.46,£62.25,£68.10,£73.89,£79.68,£85.50,£91.32,£97.14,£102.93,£108.72,£114.54,£120.36,£126.15,£131.94,£137.76,£143.58,£149.40,£155.22,£161.01,£166.80,£172.60,£178.41,£184.21,£190.02,£195.84,£8.90
GPA,Lesotho,£26.19,£33.28,£40.37,£47.57,£54.71,£61.78,£68.81,£75.90,£82.94,£89.98,£97.05,£104.11,£111.18,£118.21,£125.25,£132.32,£139.38,£146.42,£153.46,£160.52,£167.59,£174.65,£181.72,£188.76,£195.79,£202.83,£209.90,£216.94,£224.00,£231.07,£10.00
GPA,Liberia,£26.19,£33.28,£40.37,£47.57,£54.71,£61.78,£68.81,£75.90,£82.94,£89.98,£97.05,£104.11,£111.18,£118.21,£125.25,£132.32,£139.38,£146.42,£153.46,£160.52,£167.59,£174.65,£181.72,£188.76,£195.79,£202.83,£209.90,£216.94,£224.00,£231.07,£10.00
GPA,Libya,£26.19,£33.28,£40.37,£47.57,£54.71,£61.78,£68.81,£75.90,£82.94,£89.98,£97.05,£104.11,£111.18,£118.21,£125.25,£132.32,£139.38,£146.42,£153.46,£160.52,£167.59,£174.65,£181.72,£188.76,£195.79,£202.83,£209.90,£216.94,£224.00,£231.07,£10.00
GPA,Liechtenstein,£30.08,£37.66,£45.23,£52.91,£60.54,£68.09,£75.62,£83.19,£90.72,£98.24,£105.79,£113.34,£120.89,£128.42,£135.94,£143.49,£151.05,£158.57,£166.09,£173.65,£181.20,£188.75,£196.30,£203.82,£211.35,£218.87,£226.42,£233.95,£241.50,£249.05,£4.43
GPA,Macao,£23.77,£29.64,£35.51,£41.49,£47.41,£53.26,£59.08,£64.95,£70.77,£76.59,£82.43,£88.28,£94.12,£99.94,£105.76,£111.61,£117.45,£123.27,£129.09,£134.93,£140.78,£146.62,£152.47,£158.29,£164.11,£169.93,£175.77,£181.59,£187.44,£193.28,£16.53
GPA,Macedonia,£30.08,£37.66,£45.23,£52.91,£60.54,£68.09,£75.62,£83.19,£90.72,£98.24,£105.79,£113.34,£120.89,£128.42,£135.94,£143.49,£151.05,£158.57,£166.09,£173.65,£181.20,£188.75,£196.30,£203.82,£211.35,£218.87,£226.42,£233.95,£241.50,£249.05,£4.43
