service_code,service_name,carrier_service_code,service_register_code,features,zone_label,country_codes,min_weight,max_weight,zone_min_weight,zone_max_weight,max_length,max_width,max_height,rate,cost,zone_id,postal_codes,cities,active,currency,weight_unit,dimension_unit,transit_days,domicile,international,included_compensation,package_format_identifier,notes,meta_source_url,meta_effective_date,veryfy price,fuel_energy_surcharge_percentage,green_surcharge_amount,peak_surcharge_amount,peak_surcharge_start_date,peak_surcharge_end_date,signature_surcharge_amount,age_verification_surcharge_amount,id_verification_surcharge_amount,signature_surcharge_letter_amount,signature_surcharge_large_letter_amount,signature_surcharge_parcel_amount
parcel_force_express_24_insured_2500,express24 Comp 3 (01 / 915178NE),NDE,01,tracked:b2c:email_notifications:b2b:Insurance:signature,Domestic,GB,0.001,30000,,,1500,1500,1500,28.11,28.11,gb_domestic_parcelforce,,,True,GBP,G,MM,1,True,False,2500,,Account from-rate from April 2026 guide.,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,13,0.05,0.20,2026-11-17,2027-01-09,0.70,2.40,,,,
parcel_force_express24_returns,express24 Returns (01 / 915178R0),RT0,01,return:tracked:signature,Domestic,GB,0.001,30000,,,1500,1500,1500,5.29,5.29,gb_domestic_returns,,,False,GBP,G,MM,1,True,False,0,,Account from-rate from April 2026 guide.,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,13,0.05,0.20,2026-11-17,2027-01-09,,,,,,
parcel_force_express24_returns_insured_150,express24 Returns Comp 1 (01 / 915178R1),RT1,01,return:tracked:Insurance:signature,Domestic,GB,0.001,30000,,,1500,1500,1500,,,gb_domestic_returns,,,False,GBP,G,MM,1,True,False,150,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,13,0.05,0.20,2026-11-17,2027-01-09,,,,,,
parcel_force_express24_returns_insured_750,express24 Returns Comp 2 (01 / 915178R2),RT2,01,return:tracked:Insurance:signature,Domestic,GB,0.001,30000,,,1500,1500,1500,,,gb_domestic_returns,,,False,GBP,G,MM,1,True,False,750,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,13,0.05,0.20,2026-11-17,2027-01-09,,,,,,
parcel_force_express24_returns_insured_2500,express24 Returns Comp 3 (01 / 915178R3),RT3,01,return:tracked:Insurance:signature,Domestic,GB,0.001,30000,,,1500,1500,1500,,,gb_domestic_returns,,,False,GBP,G,MM,1,True,False,2500,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,13,0.05,0.20,2026-11-17,2027-01-09,,,,,,
parcel_force_express_48,express48 (01 / 915178F0),FE0,01,tracked:b2c:email_notifications:b2b:signature,Domestic,GB,0.001,30000,,,1500,1500,1500,12.20,12.20,gb_domestic_parcelforce,,,False,GBP,G,MM,2,True,False,0,,Account from-rate from April 2026 guide.,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,13,0.05,0.20,2026-11-17,2027-01-09,0.70,2.40,,,,
parcel_force_express_48_insured_150,express48 Comp 1 (01 / 915178F1),FE1,01,tracked:b2c:email_notifications:b2b:Insurance:signature,Domestic,GB,0.001,30000,,,1500,1500,1500,,,gb_domestic_parcelforce,,,False,GBP,G,MM,2,True,False,150,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,13,0.05,0.20,2026-11-17,2027-01-09,0.70,2.40,,,,
parcel_force_express_48_insured_750,express48 Comp 2 (01 / 915178F2),FE2,01,tracked:b2c:email_notifications:b2b:Insurance:signature,Domestic,GB,0.001,30000,,,1500,1500,1500,,,gb_domestic_parcelforce,,,False,GBP,G,MM,2,True,False,750,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,13,0.05,0.20,2026-11-17,2027-01-09,0.70,2.40,,,,
parcel_force_express_48_insured_2500,express48 Comp 3 (01 / 915178F3),FE3,01,tracked:b2c:email_notifications:b2b:Insurance:signature,Domestic,GB,0.001,30000,,,1500,1500,1500,,,gb_domestic_parcelforce,,,False,GBP,G,MM,2,True,False,2500,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,13,0.05,0.20,2026-11-17,2027-01-09,0.70,2.40,,,,
parcel_force_express_48_large,express48 Large (01 / 915178FM),FEM,01,tracked:b2c:email_notifications:b2b:signature,Domestic,GB,0.001,30000,,,2500,2500,2500,10.6,10.6,gb_domestic_parcelforce,,,True,GBP,G,MM,2,True,False,0,,Account from-rate from April 2026 guide.,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,13,0.05,4.50,2026-11-17,2027-01-09,0.70,,,,,
