service_code,service_name,carrier_service_code,service_register_code,features,zone_label,country_codes,min_weight,max_weight,max_length,max_width,max_height,currency,weight_unit,dimension_unit,transit_days,domicile,international
international_tracked_extra_compensation,International Tracked On Account Extra Compensation (01),OTB,01,tracked:b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
international_tracked_and_signed,International Tracked & Signed On Account (01),OTC,01,tracked:b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
international_tracked_and_signed_extra_compensation,International Tracked & Signed On Account Extra Compensation (01),OTD,01,tracked:b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
express24_returns,express24 Returns (01 / 915178R0),RT0,01,return:tracked,Domestic,GB,0.001,30000,,,,GBP,G,CM,1,true,false
rt1,express24 Returns Comp 1 (01 / 915178R1),RT1,01,return:tracked:Insurance,Domestic,GB,0.001,30000,,,,GBP,G,CM,1,true,false
rt2,express24 Returns Comp 2 (01 / 915178R2),RT2,01,return:tracked:Insurance,Domestic,GB,0.001,30000,,,,GBP,G,CM,1,true,false
rt3,express24 Returns Comp 3 (01 / 915178R3),RT3,01,return:tracked:Insurance,Domestic,GB,0.001,30000,,,,GBP,G,CM,1,true,false
express48_returns,express48 Returns (01 / 915178RA),RTA,01,return:tracked,Domestic,GB,0.001,30000,,,,GBP,G,CM,2,true,false
rtb,express48 Returns Comp 1 (01 / 915178RB),RTB,01,return:tracked:Insurance,Domestic,GB,0.001,30000,,,,GBP,G,CM,2,true,false
rtc,express48 Returns Comp 2 (01 / 915178RC),RTC,01,return:tracked:Insurance,Domestic,GB,0.001,30000,,,,GBP,G,CM,2,true,false
rtd,express48 Returns Comp 3 (01 / 915178RD),RTD,01,return:tracked:Insurance,Domestic,GB,0.001,30000,,,,GBP,G,CM,2,true,false
special_delivery_1pm,Special Delivery Guaranteed by 1pm - £750 (01 / 214655R5),SD1,01,tracked:b2c:b2b:express,Domestic,GB,0.001,30000,,,,GBP,G,CM,1,true,false
sd2,Special Delivery Guaranteed by 1pm - £1000 (01 / 214655R4),SD2,01,tracked:b2c:b2b:express,Domestic,GB,0.001,30000,,,,GBP,G,CM,1,true,false
sd3,Special Delivery Guaranteed by 1pm - £2500 (01 / 214655R7),SD3,01,tracked:b2c:b2b:express,Domestic,GB,0.001,30000,,,,GBP,G,CM,1,true,false
special_delivery_9am,Special Delivery Guaranteed by 9am - £750 (01 / 214655X0),SD4,01,tracked:b2c:b2b:express,Domestic,GB,0.001,30000,,,,GBP,G,CM,1,true,false
sd5,Special Delivery Guaranteed by 9am - £1000 (01 / 214655X0),SD5,01,tracked:b2c:b2b:express,Domestic,GB,0.001,30000,,,,GBP,G,CM,1,true,false
sd6,Special Delivery Guaranteed by 9am - £2500 (01 / 214655X0),SD6,01,tracked:b2c:b2b:express,Domestic,GB,0.001,30000,,,,GBP,G,CM,1,true,false
sda,Special Delivery Guaranteed by 1pm (ID) - £750 (01),SDA,01,tracked:b2c:b2b:express,Domestic,GB,0.001,30000,,,,GBP,G,CM,1,true,false
sdb,Special Delivery Guaranteed by 1pm (ID) - £1000 (01),SDB,01,tracked:b2c:b2b:express,Domestic,GB,0.001,30000,,,,GBP,G,CM,1,true,false
sdc,Special Delivery Guaranteed by 1pm (ID) - £2500 (01),SDC,01,tracked:b2c:b2b:express,Domestic,GB,0.001,30000,,,,GBP,G,CM,1,true,false
sde,Special Delivery Guaranteed by 9am (ID) - £750 (01),SDE,01,tracked:b2c:b2b:express,Domestic,GB,0.001,30000,,,,GBP,G,CM,1,true,false
sdf,Special Delivery Guaranteed by 9am (ID) - £1000 (01),SDF,01,tracked:b2c:b2b:express,Domestic,GB,0.001,30000,,,,GBP,G,CM,1,true,false
sdg,Special Delivery Guaranteed by 9am (ID) - £2500 (01),SDG,01,tracked:b2c:b2b:express,Domestic,GB,0.001,30000,,,,GBP,G,CM,1,true,false
sdh,Special Delivery Guaranteed by 1pm (AGE) - £750 (01),SDH,01,tracked:b2c:b2b:express,Domestic,GB,0.001,30000,,,,GBP,G,CM,1,true,false
sdj,Special Delivery Guaranteed by 1pm (AGE) - £1000 (01),SDJ,01,tracked:b2c:b2b:express,Domestic,GB,0.001,30000,,,,GBP,G,CM,1,true,false
sdk,Special Delivery Guaranteed by 1pm (AGE) - £2500 (01),SDK,01,tracked:b2c:b2b:express,Domestic,GB,0.001,30000,,,,GBP,G,CM,1,true,false
sdm,Special Delivery Guaranteed by 9am (AGE) - £750 (01),SDM,01,tracked:b2c:b2b:express,Domestic,GB,0.001,30000,,,,GBP,G,CM,1,true,false
sdn,Special Delivery Guaranteed by 9am (AGE) - £1000 (01),SDN,01,tracked:b2c:b2b:express,Domestic,GB,0.001,30000,,,,GBP,G,CM,1,true,false
sdq,Special Delivery Guaranteed by 9am (AGE) - £2500 (01),SDQ,01,tracked:b2c:b2b:express,Domestic,GB,0.001,30000,,,,GBP,G,CM,1,true,false
sdv,Special Delivery Guaranteed Age £750 (01),SDV,01,tracked:b2c:b2b:express,Domestic,GB,0.001,30000,,,,GBP,G,CM,1,true,false
sdw,Special Delivery Guaranteed Age £1000 (01),SDW,01,tracked:b2c:b2b:express,Domestic,GB,0.001,30000,,,,GBP,G,CM,1,true,false
sdx,Special Delivery Guaranteed Age £2500 (01),SDX,01,tracked:b2c:b2b:express,Domestic,GB,0.001,30000,,,,GBP,G,CM,1,true,false
sdy,Special Delivery Guaranteed ID £750 (01),SDY,01,tracked:b2c:b2b:express,Domestic,GB,0.001,30000,,,,GBP,G,CM,1,true,false
sdz,Special Delivery Guaranteed ID £1000 (01),SDZ,01,tracked:b2c:b2b:express,Domestic,GB,0.001,30000,,,,GBP,G,CM,1,true,false
sea,Special Delivery Guaranteed ID £2500 (01),SEA,01,tracked:b2c:b2b:express,Domestic,GB,0.001,30000,,,,GBP,G,CM,1,true,false
seb,Special Delivery Guaranteed £750 (01),SEB,01,tracked:b2c:b2b:express,Domestic,GB,0.001,30000,,,,GBP,G,CM,1,true,false
sec,Special Delivery Guaranteed £1000 (01),SEC,01,tracked:b2c:b2b:express,Domestic,GB,0.001,30000,,,,GBP,G,CM,1,true,false
sed,Special Delivery Guaranteed £2500 (01),SED,01,tracked:b2c:b2b:express,Domestic,GB,0.001,30000,,,,GBP,G,CM,1,true,false
first_class_account_mail,1st Class Account Mail (01 / 214655X0),STL1,01,b2c:b2b,Domestic,GB,0.001,30000,,,,GBP,G,CM,1,true,false
second_class_account_mail,2nd Class Account Mail (01 / 214655X0),STL2,01,b2c:b2b,Domestic,GB,0.001,30000,,,,GBP,G,CM,2,true,false
tracked_24,Tracked 24 (01 / 214655TN),TPN24,01,tracked:b2c:b2b,Domestic,GB,0.001,2000,,,,GBP,G,CM,1,true,false
royal_mail_tracked_24_lbt,Royal Mail Tracked 24 LBT (01 / 214655RN),TRN24,01,tracked:b2c:b2b,Domestic,GB,0.001,2000,,,,GBP,G,CM,1,true,false
tracked_returns_48,Tracked Returns 48 (01 / 214655SS),TSS,01,return:tracked,Domestic,GB,0.001,2000,,,,GBP,G,CM,2,true,false
